season,celebrity_name,week,judge_total_raw,judge_count,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,is_week_scheduled,alive,last_alive_week,season_max_scheduled_week,is_eliminated_this_week,eliminated,is_elimination_week,is_non_elimination_week,judge_total_model
1,Kelly Monaco,9,,0,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,False,0,6,6,0,,0,0,
1,Rachel Hunter,9,,0,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,False,0,4,6,0,,0,0,
1,Trista Sutter,9,,0,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,False,0,2,6,0,,0,0,
1,Evander Holyfield,10,,0,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,False,0,3,6,0,,0,0,
1,Joey McIntyre,10,,0,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,False,0,5,6,0,,0,0,
1,John O'Hurley,10,,0,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,False,0,6,6,0,,0,0,
1,Kelly Monaco,10,,0,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,False,0,6,6,0,,0,0,
1,Rachel Hunter,10,,0,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,False,0,4,6,0,,0,0,
1,Trista Sutter,10,,0,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,False,0,2,6,0,,0,0,
1,Evander Holyfield,11,,0,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,False,0,3,6,0,,0,0,
1,Joey McIntyre,11,,0,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,False,0,5,6,0,,0,0,
1,John O'Hurley,11,,0,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,False,0,6,6,0,,0,0,
1,Kelly Monaco,11,,0,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,False,0,6,6,0,,0,0,
1,Rachel Hunter,11,,0,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,False,0,4,6,0,,0,0,
1,Trista Sutter,11,,0,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,False,0,2,6,0,,0,0,
2,Drew Lachey,1,24.0,3,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,True,1,8,8,0,Kenny Mayne,1,0,24.0
2,George Hamilton,1,18.0,3,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,True,1,6,8,0,Kenny Mayne,1,0,18.0
2,Giselle Fernandez,1,23.0,3,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,True,1,3,8,0,Kenny Mayne,1,0,23.0
2,Jerry Rice,1,21.0,3,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,True,1,8,8,0,Kenny Mayne,1,0,21.0
2,Kenny Mayne,1,13.0,3,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,True,1,1,8,1,Kenny Mayne,1,0,13.0
2,Lisa Rinna,1,19.0,3,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,True,1,7,8,0,Kenny Mayne,1,0,19.0
2,Master P,1,12.0,3,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,True,1,4,8,0,Kenny Mayne,1,0,12.0
2,Stacy Keibler,1,22.0,3,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,True,1,8,8,0,Kenny Mayne,1,0,22.0
2,Tatum O'Neal,1,23.0,3,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,True,1,2,8,0,Kenny Mayne,1,0,23.0
2,Tia Carrere,1,20.0,3,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,True,1,5,8,0,Kenny Mayne,1,0,20.0
2,Drew Lachey,2,27.0,3,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,True,1,8,8,0,Tatum O'Neal,1,0,27.0
2,George Hamilton,2,22.0,3,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,True,1,6,8,0,Tatum O'Neal,1,0,22.0
2,Giselle Fernandez,2,24.0,3,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,True,1,3,8,0,Tatum O'Neal,1,0,24.0
2,Jerry Rice,2,23.0,3,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,True,1,8,8,0,Tatum O'Neal,1,0,23.0
2,Kenny Mayne,2,0.0,3,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,True,0,1,8,0,Tatum O'Neal,1,0,
2,Lisa Rinna,2,20.0,3,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,True,1,7,8,0,Tatum O'Neal,1,0,20.0
2,Master P,2,16.0,3,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,True,1,4,8,0,Tatum O'Neal,1,0,16.0
2,Stacy Keibler,2,29.0,3,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,True,1,8,8,0,Tatum O'Neal,1,0,29.0
2,Tatum O'Neal,2,17.0,3,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,True,1,2,8,1,Tatum O'Neal,1,0,17.0
2,Tia Carrere,2,22.0,3,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,True,1,5,8,0,Tatum O'Neal,1,0,22.0
2,Drew Lachey,3,27.0,3,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,True,1,8,8,0,Giselle Fernandez,1,0,27.0
2,George Hamilton,3,22.0,3,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,True,1,6,8,0,Giselle Fernandez,1,0,22.0
2,Giselle Fernandez,3,22.0,3,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,True,1,3,8,1,Giselle Fernandez,1,0,22.0
2,Jerry Rice,3,19.0,3,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,True,1,8,8,0,Giselle Fernandez,1,0,19.0
2,Kenny Mayne,3,0.0,3,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,True,0,1,8,0,Giselle Fernandez,1,0,
2,Lisa Rinna,3,25.0,3,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,True,1,7,8,0,Giselle Fernandez,1,0,25.0
2,Master P,3,14.0,3,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,True,1,4,8,0,Giselle Fernandez,1,0,14.0
2,Stacy Keibler,3,27.0,3,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,True,1,8,8,0,Giselle Fernandez,1,0,27.0
2,Tatum O'Neal,3,0.0,3,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,True,0,2,8,0,Giselle Fernandez,1,0,
2,Tia Carrere,3,26.0,3,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,True,1,5,8,0,Giselle Fernandez,1,0,26.0
2,Drew Lachey,4,28.0,3,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,True,1,8,8,0,Master P,1,0,28.0
2,George Hamilton,4,21.0,3,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,True,1,6,8,0,Master P,1,0,21.0
2,Giselle Fernandez,4,0.0,3,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,True,0,3,8,0,Master P,1,0,
2,Jerry Rice,4,24.0,3,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,True,1,8,8,0,Master P,1,0,24.0
2,Kenny Mayne,4,0.0,3,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,True,0,1,8,0,Master P,1,0,
2,Lisa Rinna,4,26.0,3,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,True,1,7,8,0,Master P,1,0,26.0
2,Master P,4,8.0,3,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,True,1,4,8,1,Master P,1,0,8.0
2,Stacy Keibler,4,26.0,3,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,True,1,8,8,0,Master P,1,0,26.0
2,Tatum O'Neal,4,0.0,3,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,True,0,2,8,0,Master P,1,0,
2,Tia Carrere,4,25.0,3,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,True,1,5,8,0,Master P,1,0,25.0
2,Drew Lachey,5,27.0,3,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,True,1,8,8,0,Tia Carrere,1,0,27.0
2,George Hamilton,5,24.0,3,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,True,1,6,8,0,Tia Carrere,1,0,24.0
2,Giselle Fernandez,5,0.0,3,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,True,0,3,8,0,Tia Carrere,1,0,
2,Jerry Rice,5,23.0,3,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,True,1,8,8,0,Tia Carrere,1,0,23.0
2,Kenny Mayne,5,0.0,3,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,True,0,1,8,0,Tia Carrere,1,0,
2,Lisa Rinna,5,25.0,3,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,True,1,7,8,0,Tia Carrere,1,0,25.0
2,Master P,5,0.0,3,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,True,0,4,8,0,Tia Carrere,1,0,
2,Stacy Keibler,5,30.0,3,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,True,1,8,8,0,Tia Carrere,1,0,30.0
2,Tatum O'Neal,5,0.0,3,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,True,0,2,8,0,Tia Carrere,1,0,
2,Tia Carrere,5,22.0,3,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,True,1,5,8,1,Tia Carrere,1,0,22.0
2,Drew Lachey,6,30.0,3,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,True,1,8,8,0,George Hamilton,1,0,30.0
2,George Hamilton,6,23.0,3,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,True,1,6,8,1,George Hamilton,1,0,23.0
2,Giselle Fernandez,6,0.0,3,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,True,0,3,8,0,George Hamilton,1,0,
2,Jerry Rice,6,23.0,3,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,True,1,8,8,0,George Hamilton,1,0,23.0
2,Kenny Mayne,6,0.0,3,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,True,0,1,8,0,George Hamilton,1,0,
2,Lisa Rinna,6,27.0,3,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,True,1,7,8,0,George Hamilton,1,0,27.0
2,Master P,6,0.0,3,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,True,0,4,8,0,George Hamilton,1,0,
2,Stacy Keibler,6,30.0,3,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,True,1,8,8,0,George Hamilton,1,0,30.0
2,Tatum O'Neal,6,0.0,3,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,True,0,2,8,0,George Hamilton,1,0,
2,Tia Carrere,6,0.0,3,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,True,0,5,8,0,George Hamilton,1,0,
2,Drew Lachey,7,27.5,3,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,True,1,8,8,0,Lisa Rinna,1,0,27.5
2,George Hamilton,7,0.0,3,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,True,0,6,8,0,Lisa Rinna,1,0,
2,Giselle Fernandez,7,0.0,3,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,True,0,3,8,0,Lisa Rinna,1,0,
2,Jerry Rice,7,20.5,3,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,True,1,8,8,0,Lisa Rinna,1,0,20.5
2,Kenny Mayne,7,0.0,3,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,True,0,1,8,0,Lisa Rinna,1,0,
2,Lisa Rinna,7,26.5,3,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,True,1,7,8,1,Lisa Rinna,1,0,26.5
2,Master P,7,0.0,3,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,True,0,4,8,0,Lisa Rinna,1,0,
2,Stacy Keibler,7,27.5,3,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,True,1,8,8,0,Lisa Rinna,1,0,27.5
2,Tatum O'Neal,7,0.0,3,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,True,0,2,8,0,Lisa Rinna,1,0,
2,Tia Carrere,7,0.0,3,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,True,0,5,8,0,Lisa Rinna,1,0,
2,Drew Lachey,8,28.9998,3,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,True,1,8,8,0,,0,1,28.9998
2,George Hamilton,8,0.0,3,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,True,0,6,8,0,,0,1,
2,Giselle Fernandez,8,0.0,3,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,True,0,3,8,0,,0,1,
2,Jerry Rice,8,26.666600000000003,3,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,True,1,8,8,0,,0,1,26.666600000000003
2,Kenny Mayne,8,0.0,3,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,True,0,1,8,0,,0,1,
2,Lisa Rinna,8,0.0,3,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,True,0,7,8,0,,0,1,
2,Master P,8,0.0,3,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,True,0,4,8,0,,0,1,
2,Stacy Keibler,8,28.6665,3,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,True,1,8,8,0,,0,1,28.6665
2,Tatum O'Neal,8,0.0,3,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,True,0,2,8,0,,0,1,
2,Tia Carrere,8,0.0,3,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,True,0,5,8,0,,0,1,
2,Drew Lachey,9,,0,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,False,0,8,8,0,,0,0,
2,George Hamilton,9,,0,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,False,0,6,8,0,,0,0,
2,Giselle Fernandez,9,,0,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,False,0,3,8,0,,0,0,
2,Jerry Rice,9,,0,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,False,0,8,8,0,,0,0,
2,Kenny Mayne,9,,0,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,False,0,1,8,0,,0,0,
2,Lisa Rinna,9,,0,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,False,0,7,8,0,,0,0,
2,Master P,9,,0,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,False,0,4,8,0,,0,0,
2,Stacy Keibler,9,,0,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,False,0,8,8,0,,0,0,
2,Tatum O'Neal,9,,0,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,False,0,2,8,0,,0,0,
2,Tia Carrere,9,,0,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,False,0,5,8,0,,0,0,
2,Drew Lachey,10,,0,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,False,0,8,8,0,,0,0,
2,George Hamilton,10,,0,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,False,0,6,8,0,,0,0,
2,Giselle Fernandez,10,,0,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,False,0,3,8,0,,0,0,
2,Jerry Rice,10,,0,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,False,0,8,8,0,,0,0,
2,Kenny Mayne,10,,0,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,False,0,1,8,0,,0,0,
2,Lisa Rinna,10,,0,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,False,0,7,8,0,,0,0,
2,Master P,10,,0,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,False,0,4,8,0,,0,0,
2,Stacy Keibler,10,,0,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,False,0,8,8,0,,0,0,
2,Tatum O'Neal,10,,0,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,False,0,2,8,0,,0,0,
2,Tia Carrere,10,,0,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,False,0,5,8,0,,0,0,
2,Drew Lachey,11,,0,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,False,0,8,8,0,,0,0,
2,George Hamilton,11,,0,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,False,0,6,8,0,,0,0,
2,Giselle Fernandez,11,,0,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,False,0,3,8,0,,0,0,
2,Jerry Rice,11,,0,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,False,0,8,8,0,,0,0,
2,Kenny Mayne,11,,0,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,False,0,1,8,0,,0,0,
2,Lisa Rinna,11,,0,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,False,0,7,8,0,,0,0,
2,Master P,11,,0,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,False,0,4,8,0,,0,0,
2,Stacy Keibler,11,,0,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,False,0,8,8,0,,0,0,
2,Tatum O'Neal,11,,0,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,False,0,2,8,0,,0,0,
2,Tia Carrere,11,,0,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,False,0,5,8,0,,0,0,
3,Emmitt Smith,1,24.0,3,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,True,1,10,10,0,Tucker Carlson,1,0,24.0
3,Harry Hamlin,1,17.0,3,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,True,1,3,10,0,Tucker Carlson,1,0,17.0
3,Jerry Springer,1,16.0,3,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,True,1,7,10,0,Tucker Carlson,1,0,16.0
